facility,capability,status,public_evidence_date,evidence_url,evidence_summary,critical_unknown
Fraunhofer ISE CalLab PV Cells,repeatability_campaign,NEEDS_CONFIRMATION,2026-08-27,https://www.ise.fraunhofer.de/en/rd-infrastructure/accredited-labs/callab/callab-pv-cells.html,"High-precision reproducible calibration is public; no public commitment found to the frozen 24-training plus 6-holdout session campaign.","Confirm multi-session custom campaign and untouched holdout handling."
Fraunhofer ISE CalLab PV Cells,electrical_step_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.ise.fraunhofer.de/en/rd-infrastructure/accredited-labs/callab/callab-pv-cells.html,"No public evidence found for customer-defined reference-step temporal-fidelity qualification.","Confirm custom ~100 mV electrical-step injection and raw high-time-resolution export."
Fraunhofer ISE CalLab PV Cells,optical_step_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.ise.fraunhofer.de/en/rd-infrastructure/accredited-labs/callab/callab-pv-cells.html,"Public page mentions stability/hysteresis handling for novel cells but not the frozen repeated large-step transient protocol.","Confirm programmable 0.05↔2 sun steps and time-resolved Voc acquisition."
Fraunhofer ISE CalLab PV Cells,voc_intensity_acquisition,PARTIAL_PUBLIC_SUPPORT,2026-08-27,https://www.ise.fraunhofer.de/en/business-areas/photovoltaics-materials-cells-and-modules/photonic-and-electronic-power-devices.html,"Public page states IV measurements under variable spectra and intensities; exact R2 randomized-order acquisition is not documented.","Confirm 0.05-2 sun continuous/custom sequence, timestamps, same-pixel monotonic+randomized runs."
IPVF,reference_detector_traceability,PARTIAL_PUBLIC_SUPPORT,2026-08-27,https://www.ipvf.fr/en/machines/iqe-newport-oriel/,"IQE equipment publicly states automatic calibration by reference diode.","Obtain the reference-diode certificate, traceability chain, calibration date, and raw metadata; public page alone is insufficient for v3.27 PASS."
IPVF,spectral_characterization,PUBLICLY_SUPPORTED,2026-08-27,https://www.ipvf.fr/en/machines/iqe-newport-oriel/,"Public IQE system covers 300-1800 nm with light bias; separate FTPS setup is publicly bookable.","Confirm raw source spectra at each intensity and whether R2 DUT/reference responsivity can be exported on the required grid."
IPVF,linearity_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.ipvf.fr/en/machines/solar-simulator-oriel/,"Public solar-simulator page documents calibrated illumination from 0.1-1.1 suns but not detector/source linearity characterization.","Confirm linearity characterization and whether intensity can extend to the frozen 0.05-2 sun range."
IPVF,repeatability_campaign,NEEDS_CONFIRMATION,2026-08-27,https://www.ipvf.fr/en/machines/solar-simulator-oriel/,"Bookable PV characterization exists, but no public evidence found for the frozen multi-session repeatability/holdout campaign.","Confirm scheduling and preservation of session/day/sweep hierarchy and untouched holdout."
IPVF,electrical_step_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.ipvf.fr/en/machines/optical-benches/,"Custom optical benches and cryostat/EL/PL work are offered, but exact electrical-chain reference-step qualification is not documented.","Confirm ~100 mV characterized step injection through the exact SMU/software chain with raw timestamps."
IPVF,optical_step_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.ipvf.fr/en/machines/solar-simulator-oriel/,"Solar simulator supports tunable illumination and light soaking, but the public range is 0.1-1.1 suns and no time-resolved 0.05↔2 sun step protocol is stated.","Confirm extended intensity range or alternate source plus time-resolved transient export."
IPVF,voc_intensity_acquisition,PARTIAL_PUBLIC_SUPPORT,2026-08-27,https://www.ipvf.fr/en/machines/solar-simulator-oriel/,"Public simulator provides calibrated illumination, SMU measurement, and Voc extraction over 0.1-1.1 suns.","Frozen R2 requires 0.05-2 sun plus custom randomized order; confirm alternate hardware/range and raw timestamped export."
